,Tot,C,P,G,N,"T
","Incident[nb 1]
","Aircraft
","Location
","Phase
","Airport
","Distance
","Date
"
76,49,22,44,0,3,0,249,131,69,3,0,0,498
77,49,24,42,0,3,0,482,66,392,0,97,0,240
78,48,23,37,31,3,0,379,83,437,5,138,94,296
79,47,22,42,0,3,0,111,20,276,0,91,36,518
80,47,3,39,0,1,0,540,10,116,0,75,111,512
81,46,22,40,0,3,0,247,12,259,3,0,0,531
82,46,3,17,12,3,0,198,234,123,5,76,93,357
83,45,21,149,19,0,0,338,103,203,5,131,100,491
84,45,23,119,30,0,0,208,42,268,3,0,0,473
85,44,5,34,0,3,0,233,122,139,3,0,0,485
86,44,23,39,0,3,0,257,84,366,3,0,0,313
87,43,24,37,0,3,0,203,90,360,0,199,33,275
88,42,25,35,0,3,0,532,321,312,0,88,51,465
89,41,2,33,0,3,0,2,82,267,0,119,77,429
90,41,23,36,0,3,0,262,56,293,0,187,81,351
91,41,25,29,27,3,0,365,76,419,0,181,75,258
92,40,24,34,0,3,0,250,13,50,0,16,57,461
93,40,23,35,0,3,0,149,74,114,3,0,0,344
94,39,21,35,0,0,0,507,77,56,10,39,94,484
95,39,3,31,0,3,0,533,321,11,0,123,35,426
96,39,19,36,0,0,0,470,268,28,10,0,0,417
97,39,2,32,0,3,0,190,118,102,0,107,48,383
98,38,4,13,8,3,5,271,248,14,5,131,41,532
99,37,3,28,0,2,5,498,254,483,3,0,0,224
100,36,24,29,1,0,0,205,258,459,0,49,106,319
101,36,25,29,0,3,0,522,75,68,0,68,53,293
102,35,4,23,10,1,5,272,252,200,5,80,68,373
103,34,4,18,25,3,0,518,203,453,0,113,0,60
104,33,6,20,0,3,5,282,317,212,2,201,36,387
105,33,22,28,0,0,0,265,110,180,0,10,78,348
106,33,23,27,0,3,0,123,92,232,0,81,33,115
107,32,21,28,0,3,0,505,121,457,0,162,34,403
108,32,23,26,0,3,0,408,72,112,3,0,0,391
109,32,24,25,0,3,0,54,333,52,3,0,0,294
110,31,23,25,0,3,0,106,112,289,0,58,85,458
111,31,19,28,0,0,0,464,78,179,0,200,90,361
112,31,22,26,0,0,0,454,87,296,6,67,0,253
113,30,19,27,0,3,0,446,95,30,5,182,41,303
114,30,24,24,0,0,0,86,52,158,10,155,0,77
115,29,24,23,0,0,0,82,152,351,0,168,69,472
116,29,23,24,0,3,5,491,186,230,0,173,75,28
117,29,25,22,0,3,5,344,291,167,13,0,0,4
118,28,23,23,0,0,4,538,106,90,7,1,0,367
119,28,24,22,0,3,0,280,93,206,0,201,56,272
120,28,3,19,0,3,0,517,198,415,3,0,0,37
121,27,22,23,0,3,0,163,104,276,0,91,101,523
122,27,0,28,0,0,5,402,292,299,0,0,0,478
123,26,3,17,0,0,0,543,242,380,0,46,37,227
124,26,25,19,0,0,0,248,164,124,0,143,60,125
125,25,21,22,0,0,0,418,8,312,6,88,0,496
126,25,22,20,0,0,4,227,151,115,0,75,10,431
127,24,25,17,1,3,0,156,317,312,3,0,0,398
128,24,3,15,0,3,0,155,61,225,3,0,0,117
129,23,22,19,0,3,0,231,102,280,0,12,79,422
130,23,23,18,0,0,0,526,49,159,0,155,78,201
131,23,4,14,0,0,0,424,57,9,5,222,78,137
132,22,6,10,0,3,5,352,298,310,3,0,0,539
133,22,24,16,0,3,0,57,311,310,0,54,37,207
